label,figma_sync_slug,figma_tag,figma_path,theme_json_target,theme_json_value_type,theme_json_default_value,scss_target,scss_value_type,scss_default_value
Button primary height,button-primary-height,RV button primary,buttons.0.height,NULL,NULL,NULL,button-primary-height,rem,3.2rem
Button primary border radius,button-primary-border-radius,RV button primary,buttons.0.borderRadius,NULL,NULL,NULL,button-primary-border-radius,rem,0
Button primary border width,button-primary-border-width,RV button primary,buttons.0.borderWidth,NULL,NULL,NULL,button-primary-border-width,px,2px
Button primary padding X,button-primary-padding-x,RV button primary,buttons.0.paddingX,NULL,NULL,NULL,button-primary-padding-x,rem,1.5rem
Button primary padding Y,button-primary-padding-y,RV button primary,buttons.0.paddingY,NULL,NULL,NULL,button-primary-padding-y,rem,0.5rem
Button primary font size,button-primary-font-size,RV button primary,buttons.0.fontSize,NULL,NULL,NULL,button-primary-font-size,rem,1.125rem
Button primary font weight,button-primary-font-weight,RV button primary,buttons.0.fontWeight,NULL,NULL,NULL,button-primary-font-weight,number,700
Button primary letter spacing,button-primary-letter-spacing,RV button primary,,NULL,NULL,NULL,button-primary-letter-spacing,em,0.05em
Button primary text transform,button-primary-text-transform,RV button primary,buttons.0.textTransform,NULL,NULL,NULL,button-primary-text-transform,string,uppercase
BUTTONS – SECONDARY,,,,,,,,,
Button secondary font color,button-secondary-font-color,RV button secondary,buttons.1.fontColor,NULL,NULL,NULL,button-secondary-font-color,scss-color-match,$color-dark
Button secondary background color,button-secondary-background-color,RV button secondary,NULL,NULL,NULL,NULL,button-secondary-background-color,scss-ref,$color-secondary
Button secondary height,button-secondary-height,RV button secondary,buttons.1.height,NULL,NULL,NULL,button-secondary-height,rem,3.2rem
Button secondary border radius,button-secondary-border-radius,RV button secondary,buttons.1.borderRadius,NULL,NULL,NULL,button-secondary-border-radius,rem,0
Button secondary border width,button-secondary-border-width,RV button secondary,buttons.1.borderWidth,NULL,NULL,NULL,button-secondary-border-width,px,2px
Button secondary padding X,button-secondary-padding-x,RV button secondary,buttons.1.paddingX,NULL,NULL,NULL,button-secondary-padding-x,rem,1.5rem
Button secondary padding Y,button-secondary-padding-y,RV button secondary,buttons.1.paddingY,NULL,NULL,NULL,button-secondary-padding-y,rem,0.5rem
Button secondary font size,button-secondary-font-size,RV button secondary,buttons.1.fontSize,NULL,NULL,NULL,button-secondary-font-size,rem,1.125rem
Button secondary font weight,button-secondary-font-weight,RV button secondary,buttons.1.fontWeight,NULL,NULL,NULL,button-secondary-font-weight,number,700
Button secondary letter spacing,button-secondary-letter-spacing,RV button secondary,,NULL,NULL,NULL,button-secondary-letter-spacing,em,0.05em
Button secondary text transform,button-secondary-text-transform,RV button secondary,buttons.1.textTransform,NULL,NULL,NULL,button-secondary-text-transform,string,uppercase
INPUT FIELDS,,,,,,,,,
Input field height,input-field-height,RV input field,inputHeight,NULL,NULL,NULL,input-field-height,rem,3.2rem
Input field border radius,input-field-border-radius,RV input field,inputBorderRadius,NULL,NULL,NULL,input-field-border-radius,rem,0
Input field border width,input-field-border-width,RV input field,borderWidth,NULL,NULL,NULL,input-field-border-width,px,2px
COLORS – MONO,,,,,,,,,
Black,color-black,RV color black,,palette:black,hex,#000000,color-black,theme-json-var-ref,var(--wp--preset--color--black)
Dark,color-dark,RV color dark,colors.mono.0.hex,palette:dark,hex,#1F1F1F,color-dark,theme-json-var-ref,var(--wp--preset--color--dark)
Dark Grey,color-dark-grey,RV color dark grey,colors.mono.1.hex,palette:dark-grey,hex,#404040,color-dark-grey,theme-json-var-ref,var(--wp--preset--color--dark-grey)
Grey,color-grey,RV color grey,colors.mono.2.hex,palette:grey,hex,#808080,color-grey,theme-json-var-ref,var(--wp--preset--color--grey)
Grey Light,color-grey-light,RV color grey light,colors.mono.3.hex,palette:grey-light,hex,#BFBFBF,color-grey-light,theme-json-var-ref,var(--wp--preset--color--grey-light)
White,color-white,RV color white,,palette:white,hex,#ffffff,color-white,theme-json-var-ref,var(--wp--preset--color--white)
COLORS – BRAND,,,,,,,,,
Brand Color 1,brand-1,RV color brand 1,colors.colored.0.hex,palette:brand-1,hex,#00F700,color-brand-1,theme-json-var-ref,var(--wp--preset--color--brand-1)
Brand Color 2,brand-2,RV color brand 2,colors.colored.1.hex,palette:brand-2,hex,#61DAFB,color-brand-2,theme-json-var-ref,var(--wp--preset--color--brand-2)
Brand Color 3,brand-3,RV color brand 3,colors.colored.2.hex,palette:brand-3,hex,#00585f,color-brand-3,theme-json-var-ref,var(--wp--preset--color--brand-3)
Brand Color 4,brand-4,RV color brand 4,colors.colored.3.hex,palette:brand-4,hex,#5794f7,color-brand-4,theme-json-var-ref,var(--wp--preset--color--brand-4)
Brand Color 5,brand-5,RV color brand 5,colors.colored.4.hex,palette:brand-5,hex,#afbccf,color-brand-5,theme-json-var-ref,var(--wp--preset--color--brand-5)
Brand Color 6,brand-6,RV color brand 6,colors.colored.5.hex,palette:brand-6,hex,#2f3464,color-brand-6,theme-json-var-ref,var(--wp--preset--color--brand-6)
Brand Color 7,brand-7,RV color brand 7,colors.colored.6.hex,palette:brand-7,hex,#4ba9ce,color-brand-7,theme-json-var-ref,var(--wp--preset--color--brand-7)
Brand Color 8,brand-8,RV color brand 8,colors.colored.7.hex,palette:brand-8,hex,#99dfe5,color-brand-8,theme-json-var-ref,var(--wp--preset--color--brand-8)
Brand Color 9,brand-9,RV color brand 9,colors.colored.8.hex,palette:brand-9,hex,#67ce67,color-brand-9,theme-json-var-ref,var(--wp--preset--color--brand-9)
Brand Color 10,brand-10,RV color brand 10,colors.colored.9.hex,palette:brand-10,hex,#d9edff,color-brand-10,theme-json-var-ref,var(--wp--preset--color--brand-10)
COLORS – THEME,,,,,,,,,
Primary color,color-primary,RV color primary,buttons.0.backgroundColor,NULL,NULL,NULL,color-primary,scss-color-match,$color-brand-1
Secondary color,color-secondary,RV color secundary,buttons.1.backgroundColor,NULL,NULL,NULL,color-secondary,scss-color-match,$color-brand-2
Background color,color-background,RV background color,body.backgroundColor,NULL,NULL,NULL,color-background,scss-color-match,$color-black
Body text color,color-body,RV body text,body.color,NULL,NULL,NULL,color-body,scss-color-match,$color-white
